movie_id,year,rank,name,theaters,total_gross,studio,imdb_id,imdb_title
1,2006,10,The Pursuit of Happyness,3169,163566459,Sony,454921,"Pursuit of Happyness, The (2006)"
2,2006,9,Casino Royale,3443,167445960,Sony,381061,Casino Royale (2006)
3,2006,8,Ice Age: The Meltdown,3969,195330621,Fox,438097,Ice Age: The Meltdown (2006)
4,2006,7,Happy Feet,3804,198000317,WB,366548,Happy Feet (2006)
5,2006,6,Superman Returns,4065,200081192,WB,348150,Superman Returns (2006)
6,2006,5,The Da Vinci Code,3757,217536138,Sony,382625,"Da Vinci Code, The (2006)"
7,2006,4,X-Men: The Last Stand,3714,234362462,Fox,376994,X-Men: The Last Stand (2006)
8,2006,3,Cars,3988,244082982,BV,317219,Cars (2006)
9,2006,2,Night at the Museum,3768,250863268,Fox,477347,Night at the Museum (2006)
10,2006,1,Pirates of the Caribbean: Dead Man's Chest,4133,423315812,BV,383574,Pirates of the Caribbean: Dead Man's Chest (2006)
11,2007,10,300,3280,210614939,WB,416449,300 (2006)
12,2007,9,Alvin and the Chipmunks,3499,217326974,Fox,952640,Alvin and the Chipmunks (2007)
13,2007,8,National Treasure: Book of Secrets,3832,219964115,BV,465234,National Treasure: Book of Secrets (2007)
14,2007,7,The Bourne Ultimatum,3701,227471070,Uni.,440963,"Bourne Ultimatum, The (2007)"
15,2007,6,I Am Legend,3648,256393010,WB,480249,"Am Legend, I (2007)"
16,2007,5,Harry Potter and the Order of the Phoenix,4285,292004738,WB,373889,Harry Potter and the Order of the Phoenix (2007)
17,2007,4,Pirates of the Caribbean: At World's End,4362,309420425,BV,449088,Pirates of the Caribbean: At World's End (2007)
18,2007,3,Transformers,4050,319246193,P/DW,418279,Transformers (2007)
19,2007,2,Shrek the Third,4172,322719944,P/DW,413267,Shrek the Third (2007)
20,2007,1,Spider-Man 3,4324,336530303,Sony,413300,Spider-Man 3 (2007)
21,2008,10,Dr. Seuss' Horton Hears a Who!,3961,154529439,Fox,451079,Horton Hears a Who! (2008)
22,2008,9,Quantum of Solace,3501,168368427,Sony,830515,Quantum of Solace (2008)
23,2008,8,Madagascar: Escape 2 Africa,4065,180010950,P/DW,479952,Madagascar: Escape 2 Africa (2008)
24,2008,7,Twilight,3649,192769854,Sum.,1099212,Twilight (I) (2008)
25,2008,6,Kung Fu Panda,4136,215434591,P/DW,441773,Kung Fu Panda (2008)
26,2008,5,WALL-E,3992,223808164,BV,910970,WALL·E (2008)
27,2008,4,Hancock,3965,227946274,Sony,448157,Hancock (2008)
28,2008,3,Indiana Jones and the Kingdom of the Crystal Skull,4264,317101119,Par.,367882,Indiana Jones and the Kingdom of the Crystal Skull (2008)
29,2008,2,Iron Man,4154,318412101,Par.,371746,Iron Man (2008)
30,2008,1,The Dark Knight,4366,533345358,WB,468569,"Dark Knight, The (2008)"
31,2009,10,Sherlock Holmes,3626,209028679,WB,988045,Sherlock Holmes (2009)
32,2009,9,Alvin and the Chipmunks: The Squeakquel,3747,219614612,Fox,1231580,Alvin and the Chipmunks: The Squeakquel (2009)
33,2009,8,The Blind Side,3407,255959475,WB,878804,"Blind Side, The (2009)"
34,2009,7,Star Trek,4053,257730019,Par.,796366,Star Trek (2009)
35,2009,6,The Hangover,3545,277322503,WB,1119646,"Hangover, The (2009)"
36,2009,5,Up,3886,293004164,BV,1049413,Up (2009)
37,2009,4,The Twilight Saga: New Moon,4124,296623634,Sum.,1259571,"Twilight Saga: New Moon, The (2009)"
38,2009,3,Harry Potter and the Half-Blood Prince,4455,301959197,WB,417741,Harry Potter and the Half-Blood Prince (2009)
39,2009,2,Transformers: Revenge of the Fallen,4293,402111870,P/DW,1055369,Transformers: Revenge of the Fallen (2009)
40,2009,1,Avatar,3461,749766139,Fox,499549,Avatar (2009)
41,2010,10,Tangled,3603,200821936,BV,398286,Tangled (2010)
42,2010,9,How to Train Your Dragon,4060,217581231,P/DW,892769,How to Train Your Dragon (2010)
43,2010,8,Shrek Forever After,4386,238736787,P/DW,892791,Shrek Forever After (2010)
44,2010,7,Despicable Me,3602,251513985,Uni.,1323594,Despicable Me (2010)
45,2010,6,Inception,3792,292576195,WB,1375666,Inception (2010)
46,2010,5,Harry Potter and the Deathly Hallows Part 1,4125,295983305,WB,926084,Harry Potter and the Deathly Hallows: Part 1 (2010)
47,2010,4,The Twilight Saga: Eclipse,4468,300531751,Sum.,1325004,"Twilight Saga: Eclipse, The (2010)"
48,2010,3,Iron Man 2,4390,312433331,Par.,1228705,Iron Man 2 (2010)
49,2010,2,Alice in Wonderland (2010),3739,334191110,BV,1014759,Alice in Wonderland (I) (2010)
50,2010,1,Toy Story 3,4028,415004880,BV,435761,Toy Story 3 (2010)
