movie_id,year,rank,name,wiki_name,theaters,total_gross,studio,imdb_id,imdb_title,language,country,rating
1,1995,1,Toy Story,Toy Story,2574,191796233,BV,114709,Toy Story (1995),English,USA,8.3
2,1995,2,Batman Forever,Batman Forever,2893,184031112,WB,112462,Batman Forever (1995),English,USA,5.4
3,1995,3,Apollo 13,Apollo 13 (film),2347,172071312,Uni.,112384,Apollo 13 (1995),English,USA,7.6
4,1995,4,Pocahontas,Pocahontas (1995 film),2757,141579773,BV,114148,Pocahontas (1995),English,USA,6.6
5,1995,5,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,2705,108385533,WB,112281,Ace Ventura: When Nature Calls (1995),English,USA,6.3
6,1995,6,GoldenEye,GoldenEye,2667,106429941,MGM,113189,GoldenEye (1995),English,UK,7.2
7,1995,7,Jumanji,Jumanji,2530,100475249,Sony,113497,Jumanji (1995),English,USA,6.8
8,1995,8,Casper,Casper (film),2757,100328194,Uni.,112642,Casper (1995),English,USA,6
9,1995,9,Seven,Seven (1995 film),2528,100125643,NL,114369,Se7en (1995),English,USA,8.6
10,1995,10,Die Hard: With A Vengeance,Die Hard with a Vengeance,2579,100012499,Fox,112864,"Hard: With a Vengeance, Die (1995)",English,USA,7.6
11,1995,11,Crimson Tide,Crimson Tide (film),2514,91387195,BV,112740,Crimson Tide (1995),English,USA,7.3
12,1995,12,Waterworld,Waterworld,2420,88246220,Uni.,114898,Waterworld (1995),English,USA,6.1
13,1995,13,Dangerous Minds,Dangerous Minds,1783,84919401,BV,112792,Dangerous Minds (1995),English,USA,6.4
14,1995,14,Mr. Holland's Opus,Mr. Holland's Opus,1659,82569971,BV,113862,Mr. Holland's Opus (1995),English,USA,7.3
15,1995,15,While You Were Sleeping,While You Were Sleeping,2086,81057016,BV,114924,While You Were Sleeping (1995),English,USA,6.6
16,1995,16,Congo,Congo (film),2676,81022101,Par.,112715,Congo (1995),English,USA,5
17,1995,17,Father of the Bride Part II,Father of the Bride Part II,2148,76594107,BV,113041,Father of the Bride Part II (1995),English,USA,5.9
18,1995,18,Braveheart,Braveheart,2037,75609945,Par.,112573,Braveheart (1995),English,USA,8.4
19,1995,19,Get Shorty,Get Shorty (film),2103,72101622,MGM,113161,Get Shorty (1995),English,USA,6.9
20,1995,20,Grumpier Old Men,Grumpier Old Men,2037,71518503,WB,113228,Grumpier Old Men (1995),English,USA,6.6
21,1995,21,The Bridges of Madison County,The Bridges of Madison County,1986,71516617,WB,112579,"Bridges of Madison County, The (1995)",English,USA,7.5
22,1995,22,Mortal Kombat,Mortal Kombat (film),2630,70454098,NL,113855,Mortal Kombat (1995),English,USA,5.8
23,1995,23,Nine Months,Nine Months,1795,69684532,Fox,113986,Nine Months (1995),English,USA,5.4
24,1995,24,Outbreak,Outbreak (film),2230,67659560,WB,114069,Outbreak (1995),English,USA,6.5
25,1995,25,Heat,Heat (1995 film),1704,67436818,WB,113277,Heat (1995),English,USA,8.3
26,1995,26,Waiting to Exhale,Waiting to Exhale,1402,67052156,Fox,114885,Waiting to Exhale (1995),English,USA,5.6
27,1995,27,Bad Boys,Bad Boys (1995 film),2132,65807024,Sony,112442,Bad Boys (1995),English,USA,6.8
28,1995,28,Babe,Babe (film),1790,63658910,Uni.,112431,Babe (1995),English,Australia,6.8
29,1995,29,The American President,The American President,1508,60079496,Sony,112346,"American President, The (1995)",English,USA,6.8
30,1995,30,Species,Species (film),2310,60074103,MGM,114508,Species (1995),English,USA,5.8
31,1995,31,12 Monkeys,12 Monkeys,1629,57141459,Uni.,114746,Twelve Monkeys (1995),English,USA,8.1
32,1995,32,Clueless,Clueless (film),1922,56631572,Par.,112697,Clueless (1995),English,USA,6.8
33,1995,33,Sabrina,Sabrina (1995 film),1976,53672080,Par.,114319,Sabrina (1995),English,Germany,6.2
34,1995,34,Something to Talk About,Something to Talk About (film),1787,50865589,WB,114496,Something to Talk About (1995),English,USA,5.6
35,1995,35,The Net,The Net (1995 film),2027,50727965,Sony,113957,"Net, The (1995)",English,USA,5.8
36,1995,36,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,2150,50024083,WB,114781,Under Siege 2: Dark Territory (1995),English,USA,5.4
37,1995,37,A Walk in the Clouds,A Walk in the Clouds,1755,50008143,Fox,114887,"Walk in the Clouds, A (1995)",English,USA,6.6
38,1995,38,The Brady Bunch Movie,The Brady Bunch Movie,1941,46576136,Par.,112572,"Brady Bunch Movie, The (1995)",English,USA,5.9
39,1995,39,Sense and Sensibility,Sense and Sensibility (film),1054,43182776,Sony,114388,Sense and Sensibility (1995),English,USA,7.7
40,1995,40,Casino,Casino (film),1631,42512375,Uni.,112641,Casino (1995),English,USA,8.2
41,1995,41,Man of the House,Man of the House (1995 film),2059,40070995,BV,113755,Man of the House (1995),English,USA,4.9
42,1995,42,Dead Man Walking,Dead Man Walking (film),821,39363635,Gram.,112818,Dead Man Walking (1995),English,UK,7.6
43,1995,43,French Kiss,French Kiss (1995 film),1754,38896854,Fox,113117,French Kiss (1995),English,UK,6.5
44,1995,44,Higher Learning,Higher Learning,1450,38290723,Sony,113305,Higher Learning (1995),English,USA,6.4
45,1995,45,Mighty Morphin' Power Rangers,Mighty Morphin Power Rangers: The Movie,2409,38187431,Fox,113820,Mighty Morphin Power Rangers: The Movie (1995),English,USA,5
46,1995,46,First Knight,First Knight,2161,37600435,Sony,113071,First Knight (1995),English,USA,5.9
47,1995,47,Just Cause,Just Cause,2059,36853222,WB,113501,Just Cause (1995),English,USA,6.4
48,1995,48,"To Wong Foo, Thanks for Everything, Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar",1489,36474193,Uni.,114682,"To Wong Foo Thanks for Everything, Julie Newmar (1995)",English,USA,6.3
49,1995,49,The Indian in the Cupboard,The Indian in the Cupboard (film),1723,35656131,Par.,113419,"Indian in the Cupboard, The (1995)",English,USA,5.9
50,1995,50,Money Train,Money Train (film),2522,35431113,Sony,113845,Money Train (1995),English,USA,5.5
51,1996,1,Independence Day,Independence Day (1996 film),2977,306169268,Fox,116629,Independence Day (1996),English,USA,6.9
52,1996,2,Twister,Twister (1996 film),2808,241721524,WB,117998,Twister (1996),English,USA,6.3
53,1996,3,Mission: Impossible,Mission: Impossible (film),3012,180981856,Par.,117060,Mission: Impossible (1996),English,USA,7.1
54,1996,4,Jerry Maguire,Jerry Maguire,2531,153952592,Sony,116695,Jerry Maguire (1996),English,USA,7.3
55,1996,5,Ransom,Ransom (1996 film),2768,136492681,BV,117438,Ransom (1996),English,USA,6.6
56,1996,6,101 Dalmatians (1996),101 Dalmatians (1996 film),2901,136189294,BV,115433,101 Dalmatians (1996),English,USA,5.6
57,1996,7,The Rock,The Rock (film),2426,134069511,BV,117500,"Rock, The (1996)",English,USA,7.4
58,1996,8,The Nutty Professor (1996),The Nutty Professor (1996 film),2239,128814019,Uni.,117218,"Nutty Professor, The (1996)",English,USA,5.5
59,1996,9,The Birdcage,The Birdcage,2285,124060553,MGM,115685,"Birdcage, The (1996)",English,USA,6.9
60,1996,10,A Time to Kill,A Time to Kill (1996 film),2313,108766007,WB,117913,"Time to Kill, A (1996)",English,USA,7.4
61,1996,11,The First Wives Club,The First Wives Club,2406,105489203,Par.,116313,"First Wives Club, The (1996)",English,USA,6.1
62,1996,12,Phenomenon,Phenomenon (film),2139,104636382,BV,117333,Phenomenon (1996),English,USA,6.4
63,1996,13,Scream,Scream (1996 film),1994,103046663,Dim.,117571,Scream (1996),English,USA,7.2
64,1996,14,Eraser,Eraser (film),2556,101295562,WB,116213,Eraser (1996),English,USA,6
65,1996,15,The Hunchback of Notre Dame,The Hunchback of Notre Dame (1996 film),2835,100138851,BV,116583,"Hunchback of Notre Dame, The (1996)",English,USA,6.9
66,1996,16,Michael,Michael (1996 film),2325,95318203,NL,117038,Michael (1996),English,USA,5.6
67,1996,17,Star Trek: First Contact,Star Trek: First Contact,2812,92027888,Par.,117731,Star Trek: First Contact (1996),English,USA,7.6
68,1996,18,Space Jam,Space Jam,2650,90418342,WB,117705,Space Jam (1996),English,USA,6.2
69,1996,19,The English Patient,The English Patient (film),1409,78676425,Mira.,116209,"English Patient, The (1996)",English,USA,7.4
70,1996,20,Broken Arrow (1996),Broken Arrow (1996 film),2392,70770147,Fox,115759,Broken Arrow (1996),English,USA,6
71,1996,21,Beavis and Butt-Head Do America,Beavis and Butt-head Do America,2417,63118386,Par.,115641,Beavis and Butt-Head Do America (1996),English,USA,6.8
72,1996,22,Jingle All the Way,Jingle All the Way,2404,60592389,Fox,116705,Jingle All the Way (1996),English,USA,5.4
73,1996,23,The Cable Guy,The Cable Guy,2657,60240295,Sony,115798,"Cable Guy, The (1996)",English,USA,6
74,1996,24,Courage Under Fire,Courage Under Fire,2001,59031057,Fox,115956,Courage Under Fire (1996),English,USA,6.6
75,1996,25,Jack,Jack (1996 film),2232,58620973,BV,116669,Jack (1996),English,USA,5.7
76,1996,26,Executive Decision,Executive Decision,2289,56569216,WB,116253,Executive Decision (1996),English,USA,6.4
77,1996,27,Primal Fear,Primal Fear (film),1983,56116183,Par.,117381,Primal Fear (1996),English,USA,7.7
78,1996,28,Tin Cup,Tin Cup,2102,53854588,WB,117918,Tin Cup (1996),English,USA,6.3
79,1996,29,Sleepers,Sleepers (film),2080,53315285,WB,117665,Sleepers (1996),English,USA,7.5
80,1996,30,Dragonheart,Dragonheart,2193,51367375,Uni.,116136,DragonHeart (1996),English,USA,6.4
81,1996,31,Up Close and Personal,Up Close & Personal,1639,51088705,BV,118055,Up Close & Personal (1996),English,USA,6
82,1996,32,Evita,Evita (1996 film),1045,50047179,BV,116250,Evita (1996),English,USA,6.3
83,1996,33,The Preacher's Wife,The Preacher's Wife,2008,48102795,BV,117372,"Preacher's Wife, The (1996)",English,USA,5.4
84,1996,34,Romeo + Juliet,Romeo + Juliet,1963,46351345,Fox,117509,Romeo + Juliet (1996),English,USA,6.8
85,1996,35,One Fine Day,One Fine Day,1975,46151454,Fox,117247,One Fine Day (1996),English,USA,6.4
86,1996,36,The Mirror Has Two Faces,The Mirror Has Two Faces,2489,41083864,Sony,117057,"Mirror Has Two Faces, The (1996)",English,USA,6.4
87,1996,37,Happy Gilmore,Happy Gilmore,2069,38824099,Uni.,116483,Happy Gilmore (1996),English,USA,7
88,1996,38,The Ghost and the Darkness,The Ghost and the Darkness,2202,38619405,Par.,116409,"Ghost and the Darkness, The (1996)",English,USA,6.8
89,1996,39,Mars Attacks!,Mars Attacks!,1955,37771017,WB,116996,Mars Attacks! (1996),English,USA,6.3
90,1996,40,Set It Off,Set It Off,1016,36461139,NL,117603,Set It Off (1996),English,USA,6.8
91,1996,41,Shine,Shine (film),1050,35892330,FL,117631,Shine (1996),English,Australia,7.7
92,1996,42,The Truth About Cats & Dogs,The Truth About Cats & Dogs,1654,34861807,Fox,117979,"Truth About Cats & Dogs, The (1996)",English,USA,6.3
93,1996,43,A Thin Line Between Love and Hate,A Thin Line Between Love and Hate,1131,34767836,NL,117891,"Thin Line Between Love and Hate, A (1996)",English,USA,5.5
94,1996,44,Muppet Treasure Island,Muppet Treasure Island,2089,34327391,BV,117110,Muppet Treasure Island (1996),English,USA,6.9
95,1996,45,Matilda,Matilda (1996 film),2006,33459416,Sony,117008,Matilda (1996),English,USA,6.8
96,1996,46,The Long Kiss Goodnight,The Long Kiss Goodnight,2404,33447612,NL,116908,"Long Kiss Goodnight, The (1996)",English,USA,6.7
97,1996,47,Striptease,Striptease (film),1979,33109743,Sony,117765,Striptease (1996),English,USA,4.3
98,1996,48,Daylight,Daylight (film),2189,33023469,Uni.,116040,Daylight (1996),English,USA,5.8
99,1996,49,Homeward Bound II: Lost in San Francisco,Homeward Bound II: Lost in San Francisco,2129,32772492,BV,116552,Homeward Bound II: Lost in San Francisco (1996),English,USA,5.8
100,1996,50,Black Sheep,Black Sheep (1996 film),2092,32417995,Par.,115697,Black Sheep (1996),English,USA,6.2
