movie_id,movie_imdb_id,movie_name,role,order,name,imdb_id
1,454921,The Pursuit of Happyness,cast,1,Will Smith,226
1,454921,The Pursuit of Happyness,cast,2,Jaden Smith,1535523
1,454921,The Pursuit of Happyness,cast,3,Thandie Newton,628601
1,454921,The Pursuit of Happyness,cast,4,Brian Howe,397788
1,454921,The Pursuit of Happyness,cast,5,James Karen,439170
2,381061,Casino Royale,cast,1,Daniel Craig,185819
2,381061,Casino Royale,cast,2,Eva Green,1200692
2,381061,Casino Royale,cast,3,Mads Mikkelsen,586568
2,381061,Casino Royale,cast,4,Judi Dench,1132
2,381061,Casino Royale,cast,5,Jeffrey Wright,942482
3,438097,Ice Age: The Meltdown,cast,1,Ray Romano,5380
3,438097,Ice Age: The Meltdown,cast,2,John Leguizamo,491
3,438097,Ice Age: The Meltdown,cast,3,Denis Leary,1459
3,438097,Ice Age: The Meltdown,cast,4,Seann William Scott,5405
3,438097,Ice Age: The Meltdown,cast,5,Josh Peck,669681
4,366548,Happy Feet,cast,1,Carlos Alazraqui,16141
4,366548,Happy Feet,cast,2,Lombardo Boyar,101603
4,366548,Happy Feet,cast,3,Jeffrey Garcia,305261
4,366548,Happy Feet,cast,4,Johnny A. Sanchez,1146844
4,366548,Happy Feet,cast,5,Robin Williams,245
5,348150,Superman Returns,cast,1,Brandon Routh,746125
5,348150,Superman Returns,cast,2,Kate Bosworth,98378
5,348150,Superman Returns,cast,3,Kevin Spacey,228
5,348150,Superman Returns,cast,4,James Marsden,5188
5,348150,Superman Returns,cast,5,Parker Posey,205
6,382625,The Da Vinci Code,cast,1,Tom Hanks,158
6,382625,The Da Vinci Code,cast,2,Audrey Tautou,851582
6,382625,The Da Vinci Code,cast,3,Ian McKellen,5212
6,382625,The Da Vinci Code,cast,4,Jean Reno,606
6,382625,The Da Vinci Code,cast,5,Paul Bettany,79273
7,376994,X-Men: The Last Stand,cast,1,Hugh Jackman,413168
7,376994,X-Men: The Last Stand,cast,2,Halle Berry,932
7,376994,X-Men: The Last Stand,cast,3,Ian McKellen,5212
7,376994,X-Men: The Last Stand,cast,4,Patrick Stewart,1772
7,376994,X-Men: The Last Stand,cast,5,Famke Janssen,463
8,317219,Cars,cast,1,Owen Wilson,5562
8,317219,Cars,cast,2,Paul Newman,56
8,317219,Cars,cast,3,Bonnie Hunt,1372
8,317219,Cars,cast,4,Larry Guy the Cable,1249256
8,317219,Cars,cast,5,Cheech Marin,1507
9,477347,Night at the Museum,cast,1,Ben Stiller,1774
9,477347,Night at the Museum,cast,2,Carla Gugino,1303
9,477347,Night at the Museum,cast,3,Dick Van Dyke,1813
9,477347,Night at the Museum,cast,4,Mickey Rooney,1682
9,477347,Night at the Museum,cast,5,Bill Cobbs,167850
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,1,Johnny Depp,136
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,2,Orlando Bloom,89217
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,3,Keira Knightley,461136
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,4,Jack Davenport,202603
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,5,Bill Nighy,631490
11,416449,300,cast,1,Gerard Butler,124930
11,416449,300,cast,2,Lena Headey,372176
11,416449,300,cast,3,Dominic West,922035
11,416449,300,cast,4,David Wenham,920992
11,416449,300,cast,5,Vincent Regan,716490
12,952640,Alvin and the Chipmunks,cast,1,Jason Lee,5134
12,952640,Alvin and the Chipmunks,cast,2,David Cross,189144
12,952640,Alvin and the Chipmunks,cast,3,Cameron Richardson,724460
12,952640,Alvin and the Chipmunks,cast,4,Jane Lynch,528331
12,952640,Alvin and the Chipmunks,cast,5,Justin Long,519043
13,465234,National Treasure: Book of Secrets,cast,1,Nicolas Cage,115
13,465234,National Treasure: Book of Secrets,cast,2,Justin Bartha,58581
13,465234,National Treasure: Book of Secrets,cast,3,Diane Kruger,1208167
13,465234,National Treasure: Book of Secrets,cast,4,Jon Voight,685
13,465234,National Treasure: Book of Secrets,cast,5,Helen Mirren,545
14,440963,The Bourne Ultimatum,cast,1,Matt Damon,354
14,440963,The Bourne Ultimatum,cast,2,Julia Stiles,5466
14,440963,The Bourne Ultimatum,cast,3,David Strathairn,657
14,440963,The Bourne Ultimatum,cast,4,Scott Glenn,1277
14,440963,The Bourne Ultimatum,cast,5,Paddy Considine,175916
15,480249,I Am Legend,cast,1,Will Smith,226
15,480249,I Am Legend,cast,2,Alice Braga,103797
15,480249,I Am Legend,cast,3,Charlie Tahan,2253071
15,480249,I Am Legend,cast,4,Salli Richardson-Whitfield,724757
15,480249,I Am Legend,cast,5,Willow Smith,2405238
16,373889,Harry Potter and the Order of the Phoenix,cast,1,Daniel Radcliffe,705356
16,373889,Harry Potter and the Order of the Phoenix,cast,2,Harry Melling,577982
16,373889,Harry Potter and the Order of the Phoenix,cast,3,Jason Boyd,2144593
16,373889,Harry Potter and the Order of the Phoenix,cast,4,Richard Macklin,2178650
16,373889,Harry Potter and the Order of the Phoenix,cast,5,Kathryn Hunter,402898
17,449088,Pirates of the Caribbean: At World's End,cast,1,Johnny Depp,136
17,449088,Pirates of the Caribbean: At World's End,cast,2,Geoffrey Rush,1691
17,449088,Pirates of the Caribbean: At World's End,cast,3,Orlando Bloom,89217
17,449088,Pirates of the Caribbean: At World's End,cast,4,Keira Knightley,461136
17,449088,Pirates of the Caribbean: At World's End,cast,5,Jack Davenport,202603
18,418279,Transformers,cast,1,Shia LaBeouf,479471
18,418279,Transformers,cast,2,Megan Fox,1083271
18,418279,Transformers,cast,3,Josh Duhamel,241049
18,418279,Transformers,cast,4,Tyrese Gibson,879085
18,418279,Transformers,cast,5,Rachael Taylor,1592225
19,413267,Shrek the Third,cast,1,Mike Myers,196
19,413267,Shrek the Third,cast,2,Eddie Murphy,552
