movie_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice,img_movie
1,Thor,cast,1,Chris Hemsworth,1165110,http://s3.amazonaws.com/brianfoo_art/hollywood/1165110.jpg,m,w,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm1165110/bio,0,http://images.enstarz.com/data/images/full/38866/chris-hemsworth-in-thor-the-dark-world.jpg
1,Thor,cast,2,Natalie Portman,204,http://s3.amazonaws.com/brianfoo_art/hollywood/204.jpg,f,w,"Ashkenazi Jewish, Polish, Romanian, Austrian, Russian, Lithuanian",http://www.imdb.com/name/nm0000204/bio,0,http://vignette2.wikia.nocookie.net/marvelmovies/images/6/63/JaneDark3.jpg/revision/latest?cb=20131018142656
1,Thor,cast,3,Tom Hiddleston,1089991,http://s3.amazonaws.com/brianfoo_art/hollywood/1089991.jpg,m,w,"His father is Scottish. His mother is English, and has English, Welsh, and German ancestry.",http://www.imdb.com/name/nm1089991/bio,0,http://images.askmen.com/1080x540/celebs/interview/tom-hiddleston-thor-2-interview-1088473-TwoByOne.jpg
1,Thor,cast,4,Anthony Hopkins,164,http://s3.amazonaws.com/brianfoo_art/hollywood/164.jpg,m,w,half Welsh and half English,http://www.imdb.com/name/nm0000164/bio,0,http://disneyexaminer.com/wp-content/uploads/2013/11/disney-marvel-thor-the-dark-world-odin-sir-anthony-hopkins.jpg
1,Thor,cast,5,Stellan Skarsgård,1745,http://s3.amazonaws.com/brianfoo_art/hollywood/1745.jpg,m,w,Swedish,http://www.imdb.com/name/nm0001745/bio,0,http://spinoff.comicbookresources.com/wp-content/uploads/2012/06/stellan-skarsgard-thor.jpg
2,Sherlock Holmes: A Game of Shadows,cast,1,Robert Downey Jr.,375,http://s3.amazonaws.com/brianfoo_art/hollywood/375.jpg,m,w,"Robert's father is of half Lithuanian Jewish, one quarter Hungarian Jewish, and one quarter Irish, descent, while Robert's mother was of English, Scottish, German, and Swiss-German",http://www.imdb.com/name/nm0000375/bio,0,http://s3.amazonaws.com/auteurs_production/post_images/8948/SherlockHolmesGameShadows.jpg?1324657192
2,Sherlock Holmes: A Game of Shadows,cast,2,Jude Law,179,http://s3.amazonaws.com/brianfoo_art/hollywood/179.jpg,m,w,"English, Scottish",http://www.imdb.com/name/nm0000179/bio,0,http://www.aceshowbiz.com/images/still/sherlock-holmes2-wbp06.jpg
2,Sherlock Holmes: A Game of Shadows,cast,3,Noomi Rapace,636426,http://s3.amazonaws.com/brianfoo_art/hollywood/636426.jpg,f,"w,h","half Spanish, half Swedish",http://www.imdb.com/name/nm0636426/bio,0,http://i.imgur.com/UUDzR.png
2,Sherlock Holmes: A Game of Shadows,cast,4,Rachel McAdams,1046097,http://s3.amazonaws.com/brianfoo_art/hollywood/1046097.jpg,f,w,"English, Welsh, Irish, and Scottish",http://www.imdb.com/name/nm1046097/bio,0,http://www.aceshowbiz.com/images/still/sherlock-holmes2-warner-bros03.jpg
2,Sherlock Holmes: A Game of Shadows,cast,5,Jared Harris,364813,http://s3.amazonaws.com/brianfoo_art/hollywood/364813.jpg,m,w,"Irish, Welsh",http://www.imdb.com/name/nm0364813/bio,0,http://cdn.collider.com/wp-content/uploads/SHH2-11612.jpg
3,Cars 2,cast,1,Larry Guy the Cable,1249256,http://s3.amazonaws.com/brianfoo_art/hollywood/1249256.jpg,m,w,,,1,http://www.aceshowbiz.com/images/wennpic/larry-the-cable-guy-premiere-cars-2-01.jpg
3,Cars 2,cast,2,Owen Wilson,5562,http://s3.amazonaws.com/brianfoo_art/hollywood/5562.jpg,m,w,Irish-American,http://www.imdb.com/name/nm0005562/bio,1,http://media.gettyimages.com/photos/actor-owen-wilson-attends-the-cars-2-los-angeles-premiere-at-the-el-picture-id117001130
3,Cars 2,cast,3,Michael Caine,323,http://s3.amazonaws.com/brianfoo_art/hollywood/323.jpg,m,w,"His father had English, Irish, and, reportedly, gypsy ancestry",https://en.wikipedia.org/wiki/Michael_Caine#Early_life,1,http://mms.businesswire.com/bwapps/mediaserver/ViewMedia?mgid=262751&vid=5
